HHID,Sc_Housing,Sc_Assets,Sc_Health,Sc_Education,Sc_Economy,Sc_Demography,Sc_Possessions,Beneficiaries
1,31.97328314,46.5423192,54.38017412,30.01973761,63.93059566,49.1795618,6.463732574,No
2,55.03225393,79.67551354,23.07550653,35.51325721,38.84352285,29.96100199,33.14083035,No
3,36.50364914,89.15331774,70.32614132,50.96010871,60.96101432,15.46444698,22.35814604,No
4,33.12933612,88.47149059,38.74452403,40.59243921,62.14460621,21.87888988,60.16767049,No
5,77.45715671,61.69804708,65.86130911,70.29716606,62.4285808,82.40851829,89.10874534,Yes
6,28.5370049,34.5134893,70.09069536,21.86095113,60.15149346,21.22564539,4.224882287,No
7,27.67777181,0,64.8385311,18.32266042,16.12819453,6.540269914,20.52362116,No
8,37.82045802,47.8187577,8.346512846,28.5212762,29.22217002,26.07484235,23.41206947,No
9,30.90250112,15.84088007,7.178722067,20.17607529,32.13480648,15.10466522,18.60999675,No
10,36.81195685,59.55913855,35.0532457,60.10081897,61.91071813,25.1346245,25.35173005,No
11,34.68585642,19.35866804,26.81451661,17.37156769,49.30499072,19.4922256,20.65183655,No
12,68.87343396,79.98576401,41.53608668,50.60322438,58.45525825,36.2155085,47.63349498,Yes
13,54.45425671,61.57313291,48.35856107,75.11293584,37.60129791,26.52144581,53.08493004,Yes
14,64.74988727,21.69633629,58.00206307,30.02985654,48.58187438,27.16703959,50.91819607,No
15,64.23829329,21.95180319,70.8629662,49.34762719,20.68722238,33.31786863,68.65298315,No
16,53.18412559,93.81225111,18.12768957,54.33192466,52.80641946,45.48399871,27.85145002,Yes
17,30.84727591,80.72131261,14.73085523,20.98999745,61.90062009,17.49214757,38.86363597,No
18,56.20630755,52.57771825,48.73370158,22.00908653,40.62430639,27.51266444,28.34107067,No
19,33.01608583,36.85387172,54.21875873,51.43531143,60.46410007,32.84988841,33.73314972,No
20,33.57056084,10.67985537,64.48771362,40.37932625,24.54559674,21.94863615,6.08687589,No
21,72.35801614,56.72203798,38.46881472,70.80271532,62.22185823,57.51258951,64.51800052,Yes
22,53.68420538,45.59050586,70.72546942,10.73261105,35.08262497,22.98653628,80.25971564,No
23,47.95619033,52.54304564,45.78957595,47.68519619,60.1487963,26.25807577,70.42962556,Yes
24,45.98401271,26.97373095,61.58500279,40.97329862,60.29332704,15.42016988,41.66084311,No
25,35.97248659,0.630272292,38.99121565,45.24580194,20.60693753,19.65099818,26.91330944,No
26,37.80639789,58.2180219,69.21913254,50.04025358,82.23756213,21.16830787,34.86068984,Yes
27,41.26282629,81.83416915,36.7663526,61.21817987,34.15533739,26.54465581,27.85035705,No
28,46.83535314,55.07110195,15.60322339,48.61788866,60.56200791,25.8936328,5.933907387,No
29,31.50626307,3.355281291,12.49401392,24.96094604,60.03607922,13.72388301,30.90983596,No
30,63.78926797,79.63143431,21.9162246,15.59849582,49.00900015,16.47752474,54.6070826,No
31,26.52946488,66.89526508,13.30487125,20.39881773,28.56251781,32.35767526,10.86027771,No
32,41.02073598,0.4363543,5.017591855,20.84011711,21.55677863,39.98081437,9.096478265,No
33,77.4468366,58.30198325,80.91552744,80.36195742,60.49984851,32.68112721,63.34455665,Yes
34,39.4973865,52.71278645,35.54751595,57.20664787,83.16145543,32.84572405,11.64128157,No
35,60.14168759,77.35633355,51.34847707,70.19359085,60.30170142,20.80738359,44.9379041,Yes
36,36.83268563,74.97771418,53.56278176,61.44850437,61.22139411,81.60277793,53.01319849,Yes
37,32.6502384,76.03379522,18.8347646,42.78885385,23.54923726,21.42565274,11.5377159,No
38,64.9732666,74.32588822,64.48508238,16.98118837,80.53291347,33.01544704,29.36311283,Yes
39,65.4567722,78.77891952,16.56209475,32.29238276,51.33092562,29.07195914,59.33200414,No
40,40.49976003,15.64510767,60.21408962,40.20355502,63.61552318,48.80556347,39.43183792,No
41,28.7054841,68.64520906,11.33023339,30.16500378,62.4182095,22.36133011,15.91262864,No
42,26.14886602,69.3379764,12.27409238,4.874550931,60.75311039,20.0812208,29.92409265,No
43,45.80671171,28.93686362,42.36726428,36.8901067,60.31345445,48.47677076,39.8637072,No
44,64.8048132,85.14557898,38.54446666,41.19297265,54.45280227,87.99639926,14.84229918,Yes
45,54.00942287,37.43265036,22.92154587,40.69296792,61.05160673,14.16885903,24.43454584,No
46,41.09743694,26.59543739,49.53352187,21.1938655,60.16238234,48.54903497,13.06887925,No
47,34.40556287,56.71050463,41.11117711,64.39633734,65.44641685,43.17526842,67.40742678,Yes
48,39.88184587,84.28569169,31.54461326,42.75300834,57.84557854,36.35116411,65.53353998,Yes
49,65.48800552,82.01916446,60.44271526,32.11773649,63.0480244,47.53822333,41.29344762,Yes
50,37.77836891,27.87673336,9.694715136,24.34298113,45.8574914,29.28625442,44.84857862,No
51,64.99680243,86.11910794,23.80365313,21.22283381,65.70787164,27.63553383,45.48912366,No
52,41.64307111,82.68843208,48.9301802,33.26645515,62.19275778,25.14254374,47.52331201,No
53,64.94616886,80.16086201,77.3254769,24.05097962,60.95682263,17.49545086,43.4045727,Yes
54,66.70772081,84.62339665,19.11895375,58.08229944,22.29827593,58.30297448,54.85333301,Yes
55,69.78544596,96.70924538,48.46740899,38.45048551,45.75491385,38.01114026,60.65070699,Yes
56,29.27095848,1.876467996,36.30518298,60.20972752,62.43914538,33.69119118,16.99931416,No
57,36.9132917,91.39314376,67.1407128,50.31127934,46.79088177,2.782435242,38.61734495,No
58,42.51094067,54.04635064,44.19524233,28.49377126,35.09138411,39.85765047,67.05954505,No
59,44.27298559,63.55123978,48.49498335,47.10437841,85.06772481,44.20275868,28.44090208,Yes
60,41.03066498,90.39943347,59.8219767,69.30980972,61.3380942,10.82236714,43.06600332,Yes
61,55.22274683,94.45105391,23.96603524,50.19490197,46.01565578,32.50968884,86.67406862,Yes
62,24.60647612,11.74646648,61.92082691,30.70401269,60.60877632,31.75986652,12.49122629,No
63,25.48751924,32.48650605,34.81242392,15.36440357,16.05214361,55.64510327,29.13442514,No
64,40.0942582,70.12352781,51.73808936,26.08543982,80.59901817,20.28946306,44.24459757,No
65,42.82537643,68.22771036,12.80901645,44.13103921,20.10844224,23.15461297,24.81305131,No
66,59.90979947,35.79137315,20.77351689,44.06025743,62.33527763,19.62757823,78.97235659,No
67,27.42136702,48.4287441,41.61519737,36.04591458,40.00114372,39.76692315,0,No
68,37.47857755,52.4895994,44.96330252,70.62090482,72.55286235,18.48002312,56.82787033,Yes
69,41.78793266,85.83150718,52.17625729,31.61690361,17.15030124,36.0314616,60.1022876,No
70,29.93900283,12.14530781,58.50884629,20.96564201,39.33128374,14.82855218,18.37027643,No
71,37.3650029,45.36428903,13.69277392,11.57788512,53.87885378,17.2140076,37.30684938,No
72,31.78644938,32.9833617,44.36723413,51.87994574,62.5856926,16.16774006,18.56422025,No
73,68.58916254,85.50165312,49.85260502,60.03549168,60.27295172,48.60905725,89.78724837,Yes
74,47.19406256,16.27307334,44.27206947,20.20189697,41.25469795,16.64829002,43.21256448,No
75,65.4115587,80.8000345,61.35294726,31.7429422,60.45428329,32.78336584,36.25865317,Yes
76,71.00230524,59.7102088,66.08262084,41.79510668,60.70033579,32.93984143,45.23795589,Yes
77,30.83872375,15.338582,27.28039698,15.17077027,53.80202722,30.1296627,18.83561508,No
78,33.02729511,40.50700224,9.695026169,17.41324112,60.93281675,20.84375718,4.255451401,No
79,43.48960465,19.16746879,14.61509996,60.44142476,36.39034092,12.7032426,69.14689728,No
80,27.4690735,59.0091923,24.75891858,11.25418316,42.24800514,28.03715553,27.18684118,No
81,29.99046219,81.87090848,13.92622325,24.2325213,52.38235506,23.74665673,6.448023608,No
82,32.34579477,63.96489951,59.05522373,27.4981763,34.84470207,18.4814104,10.09972179,No
83,33.00760017,23.26461503,19.48903037,40.66225537,60.99639281,40.67845216,0,No
